,Pre-Shift,,,,,,,,,,,,,,,,,Pre-Shift + ANNUALIZATION,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + HEP C ADJ,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + LIFT,,,,,,,,,,,,,,,,,Pre-Shift + Annualization + Hep C adj + Lift + INCREMENTAL BRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAF,,,,,,,,,,,,,,,,,MAF,,,,,,,,,,,,,,,,,MAF,,,,,,,,,,,,,,,,,MAF,,,,,,,,,,,,,,,,,MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAF,,,,,,MAF,,,,,,,,,,,,
,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,Total $,,,,,Per Brand Script,,,,,Per Total Script,,,,,,,,,,,,,,,,,,,,Rejection Rate Adj,,,,,,340B Rejection Rate,,,,,,,,,,,,
,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,,,,,,,,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,07/27 - 06/28,07/28 - 06/29,07/29 - 06/30,07/30 - 06/31,07/31 - 06/32,,,,,,,,
Retail 30,1111,1111,1111,0,0,1111,1111,1111,0,0,1111,1111,1111,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Retail 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Mail,270.6035,276.6055,285.3407,295.2334,306.2988,0.0118,0.0143,0.018,0.0202,0.0204,0.0013,0.0013,0.0014,0.0014,0.0015,,Mail,270.6035,276.6055,285.3407,295.2334,306.2988,0.0118,0.0143,0.018,0.0202,0.0204,0.0013,0.0013,0.0014,0.0014,0.0015,,Mail,270.6035,276.6055,285.3407,295.2334,306.2988,0.0118,0.0143,0.018,0.0202,0.0204,0.0013,0.0013,0.0014,0.0014,0.0015,,Mail,270.6035,276.6055,285.3407,295.2334,306.2988,0.0118,0.0143,0.018,0.0202,0.0204,0.0013,0.0013,0.0014,0.0014,0.0015,,Mail,279.0233,289.8184,305.745,322.3537,338.1208,0.0118,0.0143,0.0181,0.0203,0.0206,0.0013,0.0014,0.0015,0.0015,0.0016,,,,,,,,,,,,,,,,-3.24E-05,-5.08E-05,-8.07E-05,-0.000101614,-0.000112636,,0,0,0,0,0,,,,,,,,
Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
Total,270.6035,276.6055,285.3407,295.2334,306.2988,0.0004,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,,Total,270.6035,276.6055,285.3407,295.2334,306.2988,0.0004,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,,Total,270.6035,276.6055,285.3407,295.2334,306.2988,0.0004,0.0004,0.0004,0.0004,0.0004,0.0001,0.0001,0.0001,0.0001,0.0001,,Total,270.6035,276.6055,285.3407,295.2334,306.2988,0.0004,0.0004,0.0004,0.0004,0.0004,0.0001,0.0001,0.0001,0.0001,0.0001,,Total,279.0233,289.8184,305.745,322.3537,338.1208,0.0004,0.0004,0.0004,0.0004,0.0004,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
